text,pre_label,gpt_label,comment
"(입사 지원한 여성에게) 육아휴직 쓸텐데, 뽑지 말자",성차별,성차별,"이 문장은 입사 지원한 여성에게 육아휴직 사용 가능성을 이유로 채용을 거부하자는 내용으로, 여성의 출산과 육아를 이유로 채용에 차별을 두는 성차별적 발언입니다. 여성의 근로권을 침해하고, 성별에 따른 고정관념을 강화하는 발언입니다."
(정식 직급을 부르지 않고) ‘아줌마’ / ‘아가씨’,성차별,모욕적 언행,"면접에서 지원자를 '아줌마'나 '아가씨'와 같이 정식 직급이나 이름을 부르지 않고 부르는 것은 지원자를 하대하는 표현으로, 모욕적 언행에 해당합니다. 이러한 표현은 지원자에 대한 존중을 결여하고 있으며, 면접 상황에서 부적절한 행동입니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
원래 여자가 경리를 해야 한다,성차별,성차별,"""원래 여자가 경리를 해야 한다""는 발언은 여성의 특정 직무에 대한 선입견이나 성별에 따른 역할을 고정시키는 내용으로, 성별에 따른 직업적 역할 분담을 전제로 하고 있습니다. 이는 성별에 따른 직업 선택의 자유를 제한하고, 여성의 직업적 역량을 성별로 한정짓는 것으로 성차별에 해당합니다. 이러한 발언은 여성의 직업적 역량을 성별로 제한하고, 성별에 따른 직업적 역할을 고정시키는 것으로 성차별에 해당합니다. 따라서 이 문장은 [성차별]에 포함됩니다."
옛날 같으면 여자 국장이나 부장 같은 것은 없었다,성차별,성차별,해당 문장은 역사적으로 여성이 국장이나 부장과 같은 고위직에 오르기 어려웠다는 내용을 언급하고 있습니다. 이는 여성의 직위에 대한 고정관념과 차별을 내포하고 있어 성차별에 해당합니다. 과거에 여성이 고위직에 오르기 어려웠다는 점을 언급함으로써 여성의 역량에 대한 편견을 드러내고 있습니다.
여자는 내조를 잘해야,성차별,성차별,"""여자는 내조를 잘해야""라는 문장은 여성이 특정 역할을 해야 한다는 성별에 따른 고정관념을 반영하고 있습니다. 이는 여성의 직무 능력이나 자격과 무관하게 성별에 기반한 기대를 나타내므로 성차별에 해당합니다. 이러한 발언은 여성의 직업적 역량을 평가하는 과정에서 불공정한 요소를 도입할 수 있습니다."
"야, 너 얼굴에 뭐 좀 발라",성차별,모욕적 언행,"""야, 너 얼굴에 뭐 좀 발라""라는 문장은 지원자를 하대하는 표현으로 모욕적 언행에 해당합니다. 이는 지원자에게 무례하고 부적절한 반말을 사용한 것으로, 모욕적 언행의 범주에 속합니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
표정 관리 해라,성차별,모욕적 언행,"""표정 관리 해라""라는 발언은 면접관이 면접자에게 강압적이고 하대하는 어투로 지시하는 것으로, 모욕적 언행에 해당합니다. 이는 면접자의 감정을 통제하라는 부적절한 요구로, 지원자에 대한 존중이 부족한 표현입니다."
대표의 비위를 맞춰라,성차별,모욕적 언행,"""대표의 비위를 맞춰라""라는 발언은 지원자에게 부적절한 요구를 하며, 강압적 어투로 지원자를 하대하는 표현으로 해석될 수 있습니다. 이는 지원자에게 모욕감을 줄 수 있는 언행에 해당합니다. 따라서 이 문장은 '모욕적 언행' 카테고리에 포함됩니다."
(여성에게) 밥을 지어라,성차별,모욕적 언행,"""밥을 지어라""라는 발언은 지원자를 하대하고 부적절한 반말을 사용한 것으로, 모욕적 언행에 해당합니다. 이 발언은 지원자를 존중하지 않고, 가정적인 역할을 강요하는 듯한 표현이기 때문에 모욕적으로 느껴질 수 있습니다."
목소리 톤과 감정 통제 ex. 여자라면 사근사근하게 말해야지,성차별,모욕적 언행,"해당 문장은 면접관이 면접자에게 목소리 톤과 감정 통제를 요구하면서, 여성에게만 특정한 말투를 강요하는 내용이 포함되어 있습니다. 이는 지원자를 하대하는 표현과 성별에 따른 외모 평가 및 역할 강요로 해석될 수 있어 모욕적 언행에 해당합니다. 여성에게만 '사근사근하게 말해야지'라는 표현은 성별에 따른 고정관념을 강요하는 것이므로 모욕적 언행으로 분류됩니다."
