text,label
"(입사 지원한 여성에게) 육아휴직 쓸텐데, 뽑지 말자",성차별
(정식 직급을 부르지 않고) ‘아줌마’ / ‘아가씨’,성차별
원래 여자가 경리를 해야 한다,성차별
옛날 같으면 여자 국장이나 부장 같은 것은 없었다,성차별
여자는 내조를 잘해야,성차별
"야, 너 얼굴에 뭐 좀 발라",성차별
표정 관리 해라,성차별
대표의 비위를 맞춰라,성차별
(여성에게) 밥을 지어라,성차별
목소리 톤과 감정 통제 ex. 여자라면 사근사근하게 말해야지,성차별
살 좀 빼라,성차별
"(직무 수행에 필요하지 않은 용모, 키, 체중 등의 신체 조건이나 미혼 조건을 제시함) ex. 결혼은 했나요",성차별
여자 나이 40이면 맛이 간다,성차별
남자친구 있나요,성차별
(여성에게) 여자면서 힘 쓰는 일을 할 수 있겠냐,성차별
(미혼 여성에게) 결혼은 하고 입사했어야지 왜 이제 와서 결혼하냐,성차별
애는 언제 낳을 거냐,성차별
여자는 애 낳아야지,성차별
여자 직원이 마르고 예뻐야…,성차별
살을 좀 빼야겠다,성차별
현재 연애 중인가요,성차별
(결혼을) 왜 안하냐,성차별
비혼주의자냐,성차별
"여자는 연애를 해 결혼을 하고, 애를 낳아야 한다. 그렇지 않은 사람을 우리가 어떻게 믿고 같이 일할 수 있겠냐",성차별
(여성스러움 강요),성차별
(상냥함 강요),성차별
여자들은 대부분 결혼하면 일을 그만둬서 여자를 뽑기 꺼려진다. 다들 결혼하면 그만둘 거냐?,성차별
"결혼, 출산에 대한 생각이 없는 책임감 없는 여성에게 어떻게 일을 맡기냐",성차별
여자들은 결혼하면 일을 그만둔다,성차별
"여자들은 끈기가 없고 적응을 잘 못해서 쓰기 싫은데, 오래 근무할 수 있냐",성차별
여자인 거 치고는 (연봉) 많이 받았네,성차별
여자가 인상이 무뚝뚝하다,성차별
여자가 무뚝뚝하면 사회생활이 힘들다고 더 상냥하게 행동하고 웃어야겠다.,성차별
(무뚝뚝한 여성에게) 집에서 부모님에게 애교가 없는 편이냐,성차별
실물이 (이력서) 사진이랑 많이 다르시네요.,성차별
여성이면 출산을 해야 한다,성차별
기자는 결혼한 뒤 일-가정 양립이 어려운 직업인데 어떻게 할 계획이냐?,성차별
아니 연애를 해야 결혼을 하고 그래야 애를 낳지. 그렇게 안 하는 사람을 우리가 뭘 믿고 채용을 해요?,성차별
(육아로 인해 경력단절을 겪은 뒤 이혼을 하여 닥치는 대로 구직활동을 하는 여성에게) 왜 이혼을 했느냐,성차별
"여자는 힘들어서 오래 못 견디던데, 오래하실 수 있냐",성차별
